,name,demand,long,lat
0,Matara,0,5.95453,80.5492
1,Katunayaka,625.8,7.17229,79.8853
2,Divulapiyiya,765.12,7.22952,80.0151
3,Mirigama,1103.76,7.24274,80.127
4,Gampaha,1061.26,7.08731,80.0144
5,Kalaniya,1373.88,6.95179,79.9133
6,Homagama,1439.08,6.84328,80.0032
7,Piliyandala,1878.58,6.8018,79.9227
8,Panadura,1256.14,6.72023,79.9305
9,Horana,857.56,6.72297,80.0647
10,Kaluthara,675.07,6.5854,79.9607
11,Mathugama,867.67,6.52195,80.1137
12,Awissawella,790.3,6.95433,80.2046
13,Ambalangoda,1250.66,6.24416,80.0591
14,Elpitiya,147.78,6.28804,80.1596
15,Neluwa,842.2,6.37318,80.3575
16,Baddegama,724.72,6.1688,80.1794
17,Deniyaya,1335.38,6.34249,80.5597
18,Urubokka,731.02,6.30653,80.6306
19,Akuressa,1019.83,6.10014,80.476
20,Weligama,1066.09,5.9774,80.4288
21,Kaburupitiya,1256.83,6.07792,80.5633
22,Walasmulla,1177,6.15089,80.6937
23,Beliatta,817.75,6.04816,80.7339
24,Dikwalle,670.25,5.97168,80.6951
25,Agunukolapalassa,428.34,6.16557,80.9031
26,Ambalanthota,1193.32,6.1226,81.0238
27,Thissamaharama,1610.04,6.27916,81.2877
28,Alawwa,704.56,7.29543,80.2366
29,Kegalle,960.88,7.25133,80.3464
30,Mawanella,1080.14,7.24813,80.4466
31,Kandy,943.47,7.29057,80.6337
32,Digana,1111.52,7.29419,80.7381
33,Gampola,939.25,7.17326,80.5605
34,Ruwanwella,530.11,7.04587,80.2537
35,Hatton,2671.52,6.90035,80.5966
36,Kuruwita,613.73,6.82184,80.3615
37,Ratnapura,1111.89,6.70558,80.3847
38,Balngoda,1391.83,6.66688,80.7048
39,Godakawela,1138.58,6.50491,80.6521
40,Embilipitiya,1436.76,6.31623,80.8433
41,Dankotuwa,834.69,7.29746,79.8822
42,Ahangama,1448.5,5.97398,80.3622
43,Kiridiwela,1515.95,7.04118,80.1289
44,Wattala,333.31,7.00251,79.9099
45,Maharagama,1121.82,6.85222,79.9249
46,Mahiyanganaya,2270.21,7.33161,81.0037
47,Ampara,1805.25,7.23176,81.6473
48,Meegoda,788.14,6.8216,80.0475
49,Monaragala,1986.85,6.89065,81.3454
50,Biyagama,750.89,6.94622,79.9892
51,Bandarawela,1818.84,6.82588,80.9982
52,Wellawaya,1430.38,6.73774,81.1031
53,Kaduwela,780.3,6.93083,79.9842
54,Walapane,1495.6,7.10217,80.8627
55,Peradeniya,1345.61,7.26987,80.5938
56,Welimada,1199.4,6.90191,80.9079
57,Badulla,1369.48,6.9934,81.055
58,Passara,1134.86,6.93491,81.1527
59,Mawathagama,512.4,7.43216,80.4438
60,Yatiyanthota,693.15,7.02888,80.2955
61,Pannala,723.08,7.32954,80.0228
62,Negambo,620.15,7.2008,79.8737
63,Borella,1075.28,6.91218,79.8829
64,Maradana,548.69,6.927,79.864
65,Anuradhapura,703.85,8.31135,80.4037
66,Eppawala,622.72,8.1441,80.4119
67,Higurakgoda,847.19,8.04159,80.9532
68,Kurunegala,408.16,7.47298,80.3547
69,Matale,1019.3,7.46747,80.6234
70,Polonnaruwa,964.61,7.94034,81.0188
71,Thabuttegama,533.19,8.154,80.3046
72,Trincomale,837.91,8.58737,81.2152
73,Vavuniya,550.76,8.7542,80.4982
74,Chilaw,582.31,7.56199,79.8017
75,Dambulla,828.74,7.87422,80.6511
76,Galenbindunawewa,472.63,8.29214,80.7173
77,Ambanpola,449.85,7.91812,80.2405
78,Jaffna,1461.2,9.6615,80.0255
79,Wariyapola,49.37,7.62391,80.2433
80,Puttalama,457.33,8.09828,80.0088
81,Padaviya,244.14,8.8341,80.7607
